,sepal length,sepal width,petal length,petal width,class,class_num
0,6.9,3.1,5.1,2.3,Iris-virginica,2
1,4.9,3.1,1.5,0.1,Iris-setosa,0
2,6.2,2.9,4.3,1.3,Iris-versicolor,1
3,6.2,2.8,4.8,1.8,Iris-virginica,2
4,4.6,3.2,1.4,0.2,Iris-setosa,0
5,5.8,2.6,4.0,1.2,Iris-versicolor,1
6,5.6,2.7,4.2,1.3,Iris-versicolor,1
7,5.2,4.1,1.5,0.1,Iris-setosa,0
8,7.4,2.8,6.1,1.9,Iris-virginica,2
9,4.9,2.4,3.3,1.0,Iris-versicolor,1
10,5.6,3.0,4.1,1.3,Iris-versicolor,1
11,6.0,2.7,5.1,1.6,Iris-versicolor,1
12,6.4,3.2,5.3,2.3,Iris-virginica,2
13,5.7,4.4,1.5,0.4,Iris-setosa,0
14,6.6,3.0,4.4,1.4,Iris-versicolor,1
15,6.0,2.2,4.0,1.0,Iris-versicolor,1
16,6.3,2.5,4.9,1.5,Iris-versicolor,1
17,7.2,3.2,6.0,1.8,Iris-virginica,2
18,7.3,2.9,6.3,1.8,Iris-virginica,2
19,5.1,3.8,1.9,0.4,Iris-setosa,0
20,6.7,3.0,5.2,2.3,Iris-virginica,2
21,5.0,3.5,1.3,0.3,Iris-setosa,0
22,4.4,3.2,1.3,0.2,Iris-setosa,0
23,7.7,2.6,6.9,2.3,Iris-virginica,2
24,5.4,3.7,1.5,0.2,Iris-setosa,0
25,7.2,3.6,6.1,2.5,Iris-virginica,2
26,5.4,3.4,1.7,0.2,Iris-setosa,0
27,6.7,3.1,4.7,1.5,Iris-versicolor,1
28,5.7,2.8,4.5,1.3,Iris-versicolor,1
29,6.4,2.8,5.6,2.2,Iris-virginica,2
30,4.5,2.3,1.3,0.3,Iris-setosa,0
31,5.8,2.7,5.1,1.9,Iris-virginica,2
32,6.9,3.1,4.9,1.5,Iris-versicolor,1
33,5.8,2.7,4.1,1.0,Iris-versicolor,1
34,5.4,3.4,1.5,0.4,Iris-setosa,0
35,6.3,3.4,5.6,2.4,Iris-virginica,2
36,5.2,3.5,1.5,0.2,Iris-setosa,0
37,6.8,3.0,5.5,2.1,Iris-virginica,2
38,5.5,2.5,4.0,1.3,Iris-versicolor,1
39,6.4,2.8,5.6,2.1,Iris-virginica,2
40,7.6,3.0,6.6,2.1,Iris-virginica,2
41,4.8,3.4,1.9,0.2,Iris-setosa,0
42,5.7,2.9,4.2,1.3,Iris-versicolor,1
43,4.8,3.0,1.4,0.3,Iris-setosa,0
44,7.7,3.0,6.1,2.3,Iris-virginica,2
45,4.3,3.0,1.1,0.1,Iris-setosa,0
46,4.9,3.1,1.5,0.1,Iris-setosa,0
47,5.0,3.2,1.2,0.2,Iris-setosa,0
48,5.1,3.4,1.5,0.2,Iris-setosa,0
49,5.0,3.6,1.4,0.2,Iris-setosa,0
50,6.2,3.4,5.4,2.3,Iris-virginica,2
51,5.5,2.3,4.0,1.3,Iris-versicolor,1
52,6.8,3.2,5.9,2.3,Iris-virginica,2
53,4.9,3.0,1.4,0.2,Iris-setosa,0
54,5.0,2.0,3.5,1.0,Iris-versicolor,1
55,5.5,2.6,4.4,1.2,Iris-versicolor,1
56,5.7,2.6,3.5,1.0,Iris-versicolor,1
57,5.4,3.9,1.7,0.4,Iris-setosa,0
58,6.3,2.7,4.9,1.8,Iris-virginica,2
59,4.4,2.9,1.4,0.2,Iris-setosa,0
60,6.5,3.0,5.2,2.0,Iris-virginica,2
61,5.1,3.8,1.5,0.3,Iris-setosa,0
62,6.5,2.8,4.6,1.5,Iris-versicolor,1
63,4.8,3.4,1.6,0.2,Iris-setosa,0
64,6.7,3.1,4.4,1.4,Iris-versicolor,1
65,6.7,3.3,5.7,2.1,Iris-virginica,2
66,7.7,2.8,6.7,2.0,Iris-virginica,2
67,6.6,2.9,4.6,1.3,Iris-versicolor,1
68,5.6,2.9,3.6,1.3,Iris-versicolor,1
69,6.3,3.3,6.0,2.5,Iris-virginica,2
70,6.0,2.2,5.0,1.5,Iris-virginica,2
71,4.7,3.2,1.6,0.2,Iris-setosa,0
72,6.0,3.4,4.5,1.6,Iris-versicolor,1
73,5.0,3.3,1.4,0.2,Iris-setosa,0
74,5.5,2.4,3.7,1.0,Iris-versicolor,1
75,6.4,3.2,4.5,1.5,Iris-versicolor,1
76,5.6,2.8,4.9,2.0,Iris-virginica,2
77,4.9,3.1,1.5,0.1,Iris-setosa,0
78,5.7,3.8,1.7,0.3,Iris-setosa,0
79,5.7,2.8,4.1,1.3,Iris-versicolor,1
80,6.1,2.8,4.0,1.3,Iris-versicolor,1
81,4.9,2.5,4.5,1.7,Iris-virginica,2
82,5.8,2.7,3.9,1.2,Iris-versicolor,1
83,5.2,2.7,3.9,1.4,Iris-versicolor,1
84,6.1,2.6,5.6,1.4,Iris-virginica,2
85,6.9,3.2,5.7,2.3,Iris-virginica,2
86,4.6,3.4,1.4,0.3,Iris-setosa,0
87,6.1,3.0,4.6,1.4,Iris-versicolor,1
88,6.1,3.0,4.9,1.8,Iris-virginica,2
